epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,7921.8,1.27281,2.58244,0.11809,0.77981,1.23215,0.8084,0.82287,0.81733,0.49522,0.72849,0.73349,0.70837,0.474,1.34766,2.50962,0.01296,0.7154,1.42697,0.000461094,0.000461094,0.000461094
53,8169.25,1.26755,2.56046,0.11743,0.77882,1.23369,0.80016,0.82287,0.81077,0.49561,0.7224,0.74517,0.71481,0.47695,1.34907,2.51907,0.01285,0.70551,1.43034,0.000445625,0.000445625,0.000445625
54,8436.98,1.26179,2.57037,0.12025,0.77535,1.23552,0.8032,0.82327,0.81146,0.49149,0.72331,0.74092,0.71204,0.47537,1.35738,2.53985,0.01244,0.70509,1.43729,0.000430156,0.000430156,0.000430156
55,8683.46,1.26296,2.54213,0.11639,0.77663,1.23526,0.8038,0.82287,0.81068,0.49105,0.72078,0.73878,0.71048,0.47389,1.36025,2.53074,0.01246,0.71157,1.43946,0.000414688,0.000414688,0.000414688
56,8927.5,1.24943,2.53358,0.11607,0.7675,1.22601,0.80558,0.82045,0.81237,0.49434,0.72358,0.73833,0.712,0.47819,1.34297,2.50202,0.01134,0.70865,1.4264,0.000399219,0.000399219,0.000399219
57,9172.3,1.24768,2.51539,0.11749,0.7718,1.22284,0.78943,0.82335,0.80592,0.4903,0.73419,0.74074,0.71042,0.47314,1.3598,2.5225,0.01172,0.70525,1.44024,0.00038375,0.00038375,0.00038375
58,9412.72,1.24686,2.5122,0.11328,0.76316,1.22349,0.80744,0.83172,0.81563,0.49336,0.72514,0.74316,0.71324,0.47127,1.35438,2.52007,0.01101,0.70187,1.43332,0.000368281,0.000368281,0.000368281
59,9566.2,1.2348,2.4622,0.11286,0.75322,1.21613,0.80601,0.83054,0.81437,0.49668,0.71875,0.75,0.71418,0.4806,1.34793,2.49776,0.01191,0.69588,1.43024,0.000352812,0.000352812,0.000352812
60,9719.38,1.23465,2.47476,0.11485,0.7537,1.21538,0.81929,0.82407,0.81879,0.493,0.72989,0.74028,0.71174,0.47334,1.35732,2.49757,0.01182,0.69798,1.43612,0.000337344,0.000337344,0.000337344
61,9926.56,1.2379,2.47349,0.11603,0.7571,1.22185,0.81435,0.81763,0.81259,0.49211,0.7369,0.7339,0.70947,0.47488,1.36369,2.5253,0.01244,0.70071,1.44385,0.000321875,0.000321875,0.000321875
